2019-09-18 10:06:50,645 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="c86b3a1f-e63e-4b92-af4c-f062aaeac170")>
2019-09-18 10:06:50,648 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="c86b3a1f-e63e-4b92-af4c-f062aaeac170")>
2019-09-18 10:50:11,748 INFO [root] [base.py (base_finds:28] - 正在查找元素：('xpath', "//*[contains(@text,'删除')]") 超时时间：10 访问频率：0.5
2019-09-18 10:50:12,439 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_left_button') 超时时间：10 访问频率：0.5
2019-09-18 10:50:13,347 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_left_button')
2019-09-18 10:50:13,347 INFO [root] [base.py (base_finds:28] - 正在查找元素：('id', 'com.yunmall.lc:id/receipt_name') 超时时间：2 访问频率：0.5
2019-09-18 10:51:41,367 INFO [root] [base.py (__init__:14] - 获取driver对象：<appium.webdriver.webdriver.WebDriver (session="a9bdd898-3058-4857-af52-51f2a199cd84")>
2019-09-18 10:51:41,368 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/img_close') 超时时间：10 访问频率：0.5
2019-09-18 10:51:42,305 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/img_close')
2019-09-18 10:51:42,305 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:51:43,784 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:51:43,784 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:51:45,322 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:51:45,323 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：18610453007 密码：123456
2019-09-18 10:51:45,323 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:51:46,766 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:51:47,429 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：18610453007
2019-09-18 10:51:47,430 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:51:49,736 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:51:50,284 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:51:50,285 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:51:50,809 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:51:50,810 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:51:53,100 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:51:53,100 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:51:53,181 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:51:53,280 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:51:53,280 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:51:53,380 INFO [root] [page_login.py (page_logout:61] - 正在执行退出登录业务方法
2019-09-18 10:51:53,381 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:51:53,434 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:51:53,435 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_notification') 超时时间：10 访问频率：0.5
2019-09-18 10:51:54,814 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_modify_pwd') 超时时间：10 访问频率：0.5
2019-09-18 10:52:08,376 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_logout') 超时时间：10 访问频率：0.5
2019-09-18 10:52:08,999 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_logout')
2019-09-18 10:52:09,001 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_right_button') 超时时间：10 访问频率：0.5
2019-09-18 10:52:09,941 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_right_button')
2019-09-18 10:52:09,942 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:52:11,913 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:52:11,914 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:52:13,132 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:52:13,181 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名： 18610453007  密码：123456
2019-09-18 10:52:13,181 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:52:14,741 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:52:15,437 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入： 18610453007 
2019-09-18 10:52:15,437 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:52:17,763 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:52:18,407 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:52:18,408 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:52:18,968 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:52:18,968 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:20,460 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:52:20,461 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:20,526 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:20,594 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:52:20,594 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:20,678 INFO [root] [page_login.py (page_logout:61] - 正在执行退出登录业务方法
2019-09-18 10:52:20,679 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:52:20,730 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:52:20,731 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_notification') 超时时间：10 访问频率：0.5
2019-09-18 10:52:22,118 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_modify_pwd') 超时时间：10 访问频率：0.5
2019-09-18 10:52:35,611 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_logout') 超时时间：10 访问频率：0.5
2019-09-18 10:52:36,311 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_logout')
2019-09-18 10:52:36,311 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_right_button') 超时时间：10 访问频率：0.5
2019-09-18 10:52:37,192 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_right_button')
2019-09-18 10:52:37,192 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:52:38,746 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:52:38,746 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:52:40,012 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:52:40,101 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：itheima 密码：123456
2019-09-18 10:52:40,101 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:52:41,240 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:52:41,899 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：itheima
2019-09-18 10:52:41,899 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:52:44,089 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:52:44,730 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:52:44,730 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:52:45,327 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:52:45,327 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:46,879 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:52:46,879 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:46,956 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:47,022 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:52:47,023 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:52:47,089 INFO [root] [page_login.py (page_logout:61] - 正在执行退出登录业务方法
2019-09-18 10:52:47,090 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:52:47,148 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:52:47,149 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_notification') 超时时间：10 访问频率：0.5
2019-09-18 10:52:48,606 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_modify_pwd') 超时时间：10 访问频率：0.5
2019-09-18 10:53:02,111 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_logout') 超时时间：10 访问频率：0.5
2019-09-18 10:53:02,779 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_logout')
2019-09-18 10:53:02,779 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_right_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:03,663 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_right_button')
2019-09-18 10:53:03,663 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:53:04,809 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:53:04,809 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:53:06,505 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:53:06,603 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名： itheima  密码：123456
2019-09-18 10:53:06,603 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:07,723 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:53:08,410 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入： itheima 
2019-09-18 10:53:08,410 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:10,712 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:53:11,347 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:53:11,347 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:11,908 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:53:11,908 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:53:13,270 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:53:13,271 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:53:13,336 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:53:13,407 INFO [root] [base.py (base_get_text:50] - 获取：('id', 'com.yunmall.lc:id/tv_user_nikename') 元素的文本：itheima
2019-09-18 10:53:13,407 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tv_user_nikename') 超时时间：10 访问频率：0.5
2019-09-18 10:53:13,492 INFO [root] [page_login.py (page_logout:61] - 正在执行退出登录业务方法
2019-09-18 10:53:13,493 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image') 超时时间：10 访问频率：0.5
2019-09-18 10:53:13,559 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymtitlebar_left_btn_image')
2019-09-18 10:53:13,559 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_notification') 超时时间：10 访问频率：0.5
2019-09-18 10:53:14,784 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_modify_pwd') 超时时间：10 访问频率：0.5
2019-09-18 10:53:28,285 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/setting_logout') 超时时间：10 访问频率：0.5
2019-09-18 10:53:28,853 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/setting_logout')
2019-09-18 10:53:28,853 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/ymdialog_right_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:29,821 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/ymdialog_right_button')
2019-09-18 10:53:29,821 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/tab_me') 超时时间：10 访问频率：0.5
2019-09-18 10:53:30,951 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/tab_me')
2019-09-18 10:53:30,951 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/textView1') 超时时间：10 访问频率：0.5
2019-09-18 10:53:32,209 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/textView1')
2019-09-18 10:53:32,257 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：18610453008 密码：123456
2019-09-18 10:53:32,257 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:33,475 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:53:34,140 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：18610453008
2019-09-18 10:53:34,140 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:36,255 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:53:36,905 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:53:36,905 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:37,456 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:53:37,456 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'此用户不存在')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:38,233 INFO [root] [base.py (base_get_toast:56] - 获取包含 此用户不存在文本的 toast消息内容:此用户不存在 
2019-09-18 10:53:38,234 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'此用户不存在')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:38,299 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：186104530077 密码：123456
2019-09-18 10:53:38,299 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:39,276 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:53:40,142 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：186104530077
2019-09-18 10:53:40,142 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:42,519 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:53:43,059 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:53:43,059 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:43,591 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:53:43,592 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'此用户不存在')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:44,289 INFO [root] [base.py (base_get_toast:56] - 获取包含 此用户不存在文本的 toast消息内容:此用户不存在 
2019-09-18 10:53:44,290 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'此用户不存在')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:44,352 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：18610453007 密码：1234567
2019-09-18 10:53:44,352 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:45,291 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:53:46,109 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：18610453007
2019-09-18 10:53:46,110 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:48,458 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:53:49,045 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：1234567
2019-09-18 10:53:49,045 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:49,590 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:53:49,591 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'登录密码错误')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:50,313 INFO [root] [base.py (base_get_toast:56] - 获取包含 登录密码错误文本的 toast消息内容:登录密码错误 
2019-09-18 10:53:50,313 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'登录密码错误')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:50,385 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：itheimaa 密码：123456
2019-09-18 10:53:50,386 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:51,338 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:53:52,172 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：itheimaa
2019-09-18 10:53:52,172 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:54,728 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:53:55,323 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：123456
2019-09-18 10:53:55,324 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:53:55,853 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:53:55,853 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'此用户不存在')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:56,583 INFO [root] [base.py (base_get_toast:56] - 获取包含 此用户不存在文本的 toast消息内容:此用户不存在 
2019-09-18 10:53:56,583 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'此用户不存在')]") 超时时间：10 访问频率：0.5
2019-09-18 10:53:56,647 INFO [root] [page_login.py (page_login:69] - 【登录业务】正在执行登录操作，用户名：itheima 密码：1234567
2019-09-18 10:53:56,647 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_account_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:53:57,574 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行清空操作
2019-09-18 10:53:58,391 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_account_textview') 执行 输入：itheima
2019-09-18 10:53:58,391 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_password_textview') 超时时间：10 访问频率：0.5
2019-09-18 10:54:00,678 INFO [root] [base.py (base_input:43] - 正在对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行清空操作
2019-09-18 10:54:01,233 INFO [root] [base.py (base_input:46] - 对元素：('id', 'com.yunmall.lc:id/logon_password_textview') 执行 输入：1234567
2019-09-18 10:54:01,233 INFO [root] [base.py (base_find:21] - 正在查找元素：('id', 'com.yunmall.lc:id/logon_button') 超时时间：10 访问频率：0.5
2019-09-18 10:54:01,753 INFO [root] [base.py (base_click:35] - 正在点击元素：('id', 'com.yunmall.lc:id/logon_button')
2019-09-18 10:54:01,754 INFO [root] [base.py (base_find:21] - 正在查找元素：('xpath', "//*[contains(@text,'登录密码错误')]") 超时时间：10 访问频率：0.5
2019-09-18 10:54:02,477 INFO [root] [base.py (base_get_toast:56] - 获取包含 登录密码错误文本的 toast消息内容:登录密码错误 
